id,exercise_name,category,equipment,difficulty,target_muscle,calories_per_min,injury_risk_factor
2334,Machine Leg Press Variation 2334,Power,Machine,Beginner,Back,5.41,0.262
2335,Barbell Tricep Extension Variation 2335,Strength,Barbell,Advanced,Core,4.07,0.258
2336,Machine Squat Variation 2336,Core,Machine,Intermediate,Core,3.00,0.318
2337,Barbell Pull-up Variation 2337,Core,Barbell,Advanced,Full Body,11.56,0.712
2338,Bands Lat Pulldown Variation 2338,Rehab,Bands,Advanced,Shoulders,10.76,0.355
2339,Kettlebell Tricep Extension Variation 2339,Strength,Kettlebell,Advanced,Chest,11.85,0.762
2340,Bodyweight Bench Press Variation 2340,Rehab,Bodyweight,Advanced,Full Body,7.10,0.768
2341,Barbell Cable Fly Variation 2341,Endurance,Barbell,Beginner,Full Body,7.14,0.205
2342,Dumbbell Plank Variation 2342,Endurance,Dumbbell,Beginner,Chest,4.85,0.157
2343,Bands Lat Pulldown Variation 2343,Rehab,Bands,Intermediate,Chest,9.82,0.424
2344,Machine Bench Press Variation 2344,Strength,Machine,Advanced,Back,8.89,0.488
2345,Bodyweight Bench Press Variation 2345,Hypertrophy,Bodyweight,Advanced,Full Body,9.15,0.846
2346,Cable Overhead Press Variation 2346,Rehab,Cable,Beginner,Chest,4.42,0.433
2347,Kettlebell Cable Fly Variation 2347,Core,Kettlebell,Intermediate,Legs,8.64,0.727
2348,Kettlebell Cable Fly Variation 2348,Hypertrophy,Kettlebell,Intermediate,Core,6.29,0.247
2349,Barbell Lunge Variation 2349,Power,Barbell,Beginner,Core,11.67,0.562
2350,Bands Cable Fly Variation 2350,Core,Bands,Advanced,Shoulders,3.86,0.876
2351,Bodyweight Calf Raise Variation 2351,Endurance,Bodyweight,Beginner,Back,8.96,0.813
2352,Bodyweight Barbell Row Variation 2352,Hypertrophy,Bodyweight,Intermediate,Back,3.89,0.659
2353,Kettlebell Overhead Press Variation 2353,Endurance,Kettlebell,Intermediate,Shoulders,10.46,0.740
2354,Bodyweight Calf Raise Variation 2354,Strength,Bodyweight,Elite,Arms,9.67,0.188
2355,Bands Barbell Row Variation 2355,Strength,Bands,Beginner,Chest,9.59,0.391
2356,Kettlebell Lunge Variation 2356,Power,Kettlebell,Intermediate,Legs,6.00,0.426
2357,Kettlebell Lunge Variation 2357,Core,Kettlebell,Advanced,Chest,8.39,0.826
2358,Kettlebell Plank Variation 2358,Rehab,Kettlebell,Beginner,Legs,11.00,0.267
2359,Bodyweight Overhead Press Variation 2359,Hypertrophy,Bodyweight,Advanced,Legs,4.27,0.359
2360,Machine Barbell Row Variation 2360,Endurance,Machine,Advanced,Chest,4.91,0.350
2361,Machine Deadlift Variation 2361,Endurance,Machine,Advanced,Shoulders,9.84,0.607
2362,Machine Dumbbell Curl Variation 2362,Endurance,Machine,Advanced,Full Body,6.83,0.234
2363,Cable Plank Variation 2363,Power,Cable,Advanced,Core,10.61,0.110
2364,Barbell Pull-up Variation 2364,Strength,Barbell,Intermediate,Chest,10.42,0.368
2365,Machine Plank Variation 2365,Power,Machine,Advanced,Full Body,5.57,0.703
2366,Barbell Dumbbell Curl Variation 2366,Endurance,Barbell,Beginner,Legs,6.94,0.699
2367,Kettlebell Barbell Row Variation 2367,Hypertrophy,Kettlebell,Beginner,Legs,4.51,0.394
2368,Dumbbell Calf Raise Variation 2368,Strength,Dumbbell,Advanced,Full Body,11.30,0.497
2369,Kettlebell Pull-up Variation 2369,Endurance,Kettlebell,Elite,Shoulders,6.90,0.265
2370,Machine Leg Press Variation 2370,Endurance,Machine,Beginner,Full Body,4.03,0.313
2371,Kettlebell Lunge Variation 2371,Strength,Kettlebell,Advanced,Core,10.70,0.450
2372,Dumbbell Squat Variation 2372,Power,Dumbbell,Beginner,Core,10.99,0.604
2373,Cable Lunge Variation 2373,Endurance,Cable,Advanced,Shoulders,8.40,0.284
2374,Bodyweight Deadlift Variation 2374,Rehab,Bodyweight,Advanced,Back,4.53,0.810
2375,Dumbbell Dumbbell Curl Variation 2375,Core,Dumbbell,Advanced,Shoulders,5.68,0.339
2376,Barbell Deadlift Variation 2376,Hypertrophy,Barbell,Elite,Full Body,9.86,0.192
2377,Dumbbell Deadlift Variation 2377,Endurance,Dumbbell,Elite,Core,6.58,0.489
2378,Barbell Tricep Extension Variation 2378,Hypertrophy,Barbell,Beginner,Back,8.23,0.269
2379,Cable Pull-up Variation 2379,Rehab,Cable,Advanced,Chest,11.49,0.840
2380,Kettlebell Crunch Variation 2380,Core,Kettlebell,Beginner,Arms,11.24,0.497
2381,Bands Leg Press Variation 2381,Strength,Bands,Elite,Full Body,8.12,0.198
2382,Kettlebell Pull-up Variation 2382,Core,Kettlebell,Advanced,Arms,4.11,0.650
2383,Dumbbell Calf Raise Variation 2383,Strength,Dumbbell,Advanced,Legs,8.69,0.627
2384,Bands Overhead Press Variation 2384,Hypertrophy,Bands,Elite,Chest,9.87,0.251
2385,Cable Lat Pulldown Variation 2385,Strength,Cable,Elite,Shoulders,8.58,0.122
2386,Barbell Bench Press Variation 2386,Core,Barbell,Elite,Arms,3.32,0.562
2387,Barbell Cable Fly Variation 2387,Rehab,Barbell,Elite,Legs,3.73,0.423
2388,Dumbbell Calf Raise Variation 2388,Hypertrophy,Dumbbell,Advanced,Arms,11.13,0.600
2389,Cable Lunge Variation 2389,Endurance,Cable,Elite,Arms,4.17,0.459
2390,Dumbbell Tricep Extension Variation 2390,Power,Dumbbell,Intermediate,Back,6.55,0.128
2391,Bodyweight Tricep Extension Variation 2391,Power,Bodyweight,Beginner,Chest,4.76,0.185
2392,Barbell Barbell Row Variation 2392,Core,Barbell,Advanced,Back,8.37,0.287
2393,Machine Leg Press Variation 2393,Hypertrophy,Machine,Elite,Legs,11.39,0.810
2394,Dumbbell Bench Press Variation 2394,Core,Dumbbell,Advanced,Arms,8.81,0.236
2395,Bodyweight Deadlift Variation 2395,Rehab,Bodyweight,Intermediate,Legs,7.97,0.803
2396,Cable Bench Press Variation 2396,Power,Cable,Elite,Arms,11.54,0.866
2397,Bands Lat Pulldown Variation 2397,Strength,Bands,Beginner,Arms,5.72,0.651
2398,Kettlebell Calf Raise Variation 2398,Core,Kettlebell,Intermediate,Core,8.74,0.781
2399,Bodyweight Dumbbell Curl Variation 2399,Endurance,Bodyweight,Beginner,Shoulders,7.40,0.830
2400,Cable Lat Pulldown Variation 2400,Endurance,Cable,Beginner,Back,7.56,0.540
2401,Dumbbell Cable Fly Variation 2401,Hypertrophy,Dumbbell,Advanced,Arms,6.90,0.332
2402,Kettlebell Dumbbell Curl Variation 2402,Core,Kettlebell,Beginner,Arms,6.81,0.624
2403,Bands Squat Variation 2403,Power,Bands,Intermediate,Shoulders,10.27,0.107
2404,Bands Overhead Press Variation 2404,Strength,Bands,Intermediate,Arms,5.52,0.867
2405,Dumbbell Pull-up Variation 2405,Rehab,Dumbbell,Elite,Shoulders,10.97,0.684
2406,Kettlebell Overhead Press Variation 2406,Strength,Kettlebell,Elite,Legs,5.20,0.522
2407,Barbell Crunch Variation 2407,Power,Barbell,Advanced,Shoulders,7.45,0.499
2408,Barbell Tricep Extension Variation 2408,Core,Barbell,Intermediate,Back,10.82,0.343
2409,Bodyweight Plank Variation 2409,Rehab,Bodyweight,Elite,Arms,3.27,0.440
2410,Dumbbell Bench Press Variation 2410,Power,Dumbbell,Advanced,Legs,6.84,0.126
2411,Dumbbell Lat Pulldown Variation 2411,Hypertrophy,Dumbbell,Intermediate,Full Body,4.65,0.444
2412,Machine Lat Pulldown Variation 2412,Power,Machine,Intermediate,Chest,3.70,0.498
2413,Cable Barbell Row Variation 2413,Power,Cable,Elite,Shoulders,11.59,0.547
2414,Barbell Plank Variation 2414,Hypertrophy,Barbell,Beginner,Full Body,7.35,0.359
2415,Dumbbell Pull-up Variation 2415,Hypertrophy,Dumbbell,Advanced,Full Body,5.69,0.128
2416,Kettlebell Lunge Variation 2416,Endurance,Kettlebell,Beginner,Arms,7.93,0.339
2417,Cable Bench Press Variation 2417,Power,Cable,Intermediate,Back,10.26,0.448
2418,Cable Calf Raise Variation 2418,Core,Cable,Beginner,Chest,6.06,0.508
2419,Kettlebell Plank Variation 2419,Hypertrophy,Kettlebell,Beginner,Chest,10.03,0.175
2420,Bands Crunch Variation 2420,Hypertrophy,Bands,Beginner,Arms,10.88,0.297
2421,Barbell Tricep Extension Variation 2421,Endurance,Barbell,Beginner,Legs,4.67,0.812
2422,Cable Bench Press Variation 2422,Endurance,Cable,Advanced,Back,9.34,0.623
2423,Barbell Dumbbell Curl Variation 2423,Strength,Barbell,Elite,Full Body,8.27,0.225
2424,Dumbbell Tricep Extension Variation 2424,Hypertrophy,Dumbbell,Intermediate,Chest,9.70,0.783
2425,Bands Cable Fly Variation 2425,Core,Bands,Intermediate,Full Body,11.29,0.464
2426,Barbell Deadlift Variation 2426,Endurance,Barbell,Advanced,Core,7.68,0.408
2427,Barbell Crunch Variation 2427,Strength,Barbell,Beginner,Full Body,6.01,0.741
2428,Barbell Plank Variation 2428,Hypertrophy,Barbell,Beginner,Full Body,9.71,0.618
2429,Barbell Deadlift Variation 2429,Strength,Barbell,Intermediate,Back,6.57,0.896
2430,Dumbbell Deadlift Variation 2430,Hypertrophy,Dumbbell,Elite,Core,8.51,0.137
2431,Bands Tricep Extension Variation 2431,Core,Bands,Elite,Core,7.38,0.353
2432,Machine Dumbbell Curl Variation 2432,Core,Machine,Elite,Shoulders,4.79,0.846
2433,Dumbbell Cable Fly Variation 2433,Rehab,Dumbbell,Elite,Core,8.05,0.519
2434,Dumbbell Cable Fly Variation 2434,Core,Dumbbell,Elite,Arms,3.54,0.787
2435,Bands Barbell Row Variation 2435,Power,Bands,Intermediate,Chest,9.10,0.425
2436,Cable Lunge Variation 2436,Strength,Cable,Intermediate,Chest,3.18,0.604
2437,Dumbbell Leg Press Variation 2437,Core,Dumbbell,Intermediate,Legs,9.13,0.372
2438,Kettlebell Lunge Variation 2438,Strength,Kettlebell,Advanced,Back,6.56,0.351
2439,Kettlebell Dumbbell Curl Variation 2439,Core,Kettlebell,Advanced,Chest,11.66,0.581
2440,Barbell Plank Variation 2440,Hypertrophy,Barbell,Beginner,Shoulders,10.15,0.734
2441,Cable Dumbbell Curl Variation 2441,Rehab,Cable,Advanced,Chest,9.71,0.581
2442,Machine Leg Press Variation 2442,Rehab,Machine,Beginner,Core,5.03,0.809
2443,Barbell Barbell Row Variation 2443,Rehab,Barbell,Intermediate,Chest,11.20,0.641
2444,Barbell Leg Press Variation 2444,Endurance,Barbell,Advanced,Chest,10.06,0.486
2445,Machine Pull-up Variation 2445,Strength,Machine,Advanced,Core,9.56,0.487
2446,Dumbbell Dumbbell Curl Variation 2446,Core,Dumbbell,Elite,Core,4.36,0.863
2447,Dumbbell Cable Fly Variation 2447,Rehab,Dumbbell,Beginner,Chest,6.88,0.441
2448,Machine Dumbbell Curl Variation 2448,Core,Machine,Beginner,Legs,4.33,0.669
2449,Kettlebell Dumbbell Curl Variation 2449,Hypertrophy,Kettlebell,Advanced,Full Body,7.93,0.612
2450,Bodyweight Plank Variation 2450,Strength,Bodyweight,Intermediate,Back,11.20,0.335
2451,Bodyweight Lunge Variation 2451,Power,Bodyweight,Beginner,Full Body,3.83,0.154
2452,Barbell Squat Variation 2452,Core,Barbell,Intermediate,Arms,6.60,0.335
2453,Bands Lunge Variation 2453,Rehab,Bands,Intermediate,Legs,10.92,0.802
2454,Kettlebell Barbell Row Variation 2454,Power,Kettlebell,Elite,Full Body,9.68,0.674
2455,Bodyweight Bench Press Variation 2455,Power,Bodyweight,Beginner,Core,3.11,0.751
2456,Cable Crunch Variation 2456,Strength,Cable,Intermediate,Full Body,10.37,0.648
2457,Bands Bench Press Variation 2457,Endurance,Bands,Elite,Full Body,12.00,0.699
2458,Cable Dumbbell Curl Variation 2458,Core,Cable,Beginner,Legs,5.28,0.681
2459,Bands Calf Raise Variation 2459,Rehab,Bands,Beginner,Core,10.06,0.264
2460,Bands Bench Press Variation 2460,Core,Bands,Elite,Full Body,7.90,0.742
2461,Bands Barbell Row Variation 2461,Hypertrophy,Bands,Beginner,Back,4.30,0.272
2462,Kettlebell Pull-up Variation 2462,Core,Kettlebell,Beginner,Legs,8.61,0.675
2463,Dumbbell Squat Variation 2463,Strength,Dumbbell,Elite,Back,7.80,0.848
2464,Kettlebell Bench Press Variation 2464,Power,Kettlebell,Advanced,Legs,8.80,0.749
2465,Bodyweight Calf Raise Variation 2465,Endurance,Bodyweight,Advanced,Full Body,4.36,0.707
2466,Dumbbell Barbell Row Variation 2466,Core,Dumbbell,Beginner,Full Body,7.23,0.163
2467,Kettlebell Pull-up Variation 2467,Rehab,Kettlebell,Beginner,Arms,5.48,0.140
2468,Bands Barbell Row Variation 2468,Power,Bands,Elite,Chest,10.60,0.290
2469,Cable Pull-up Variation 2469,Endurance,Cable,Beginner,Shoulders,7.27,0.689
2470,Machine Dumbbell Curl Variation 2470,Hypertrophy,Machine,Advanced,Shoulders,9.07,0.626
2471,Kettlebell Leg Press Variation 2471,Strength,Kettlebell,Beginner,Legs,6.50,0.771
2472,Cable Dumbbell Curl Variation 2472,Strength,Cable,Advanced,Legs,10.19,0.632
2473,Bands Tricep Extension Variation 2473,Endurance,Bands,Beginner,Legs,9.67,0.776
2474,Cable Lunge Variation 2474,Rehab,Cable,Elite,Full Body,10.43,0.675
2475,Bands Bench Press Variation 2475,Strength,Bands,Beginner,Chest,7.27,0.144
2476,Cable Dumbbell Curl Variation 2476,Hypertrophy,Cable,Advanced,Shoulders,3.63,0.386
2477,Bands Barbell Row Variation 2477,Power,Bands,Beginner,Full Body,8.03,0.369
2478,Bands Lat Pulldown Variation 2478,Rehab,Bands,Elite,Chest,5.40,0.368
2479,Dumbbell Barbell Row Variation 2479,Hypertrophy,Dumbbell,Beginner,Core,10.30,0.791
2480,Dumbbell Deadlift Variation 2480,Endurance,Dumbbell,Advanced,Shoulders,7.60,0.249
2481,Cable Crunch Variation 2481,Hypertrophy,Cable,Beginner,Chest,5.03,0.723
2482,Bands Crunch Variation 2482,Endurance,Bands,Elite,Back,5.79,0.795
2483,Cable Tricep Extension Variation 2483,Core,Cable,Beginner,Chest,5.91,0.659
2484,Bodyweight Barbell Row Variation 2484,Endurance,Bodyweight,Intermediate,Legs,9.69,0.360
2485,Bands Lat Pulldown Variation 2485,Core,Bands,Beginner,Back,6.98,0.778
2486,Barbell Leg Press Variation 2486,Strength,Barbell,Elite,Chest,3.20,0.153
2487,Dumbbell Leg Press Variation 2487,Core,Dumbbell,Intermediate,Legs,6.29,0.142
2488,Dumbbell Overhead Press Variation 2488,Core,Dumbbell,Intermediate,Full Body,5.82,0.677
2489,Barbell Plank Variation 2489,Strength,Barbell,Advanced,Core,4.67,0.122
2490,Kettlebell Pull-up Variation 2490,Endurance,Kettlebell,Elite,Shoulders,3.37,0.727
2491,Barbell Dumbbell Curl Variation 2491,Hypertrophy,Barbell,Advanced,Back,9.21,0.528
2492,Cable Deadlift Variation 2492,Power,Cable,Intermediate,Arms,6.06,0.506
2493,Bands Plank Variation 2493,Rehab,Bands,Beginner,Chest,5.29,0.514
2494,Kettlebell Lat Pulldown Variation 2494,Power,Kettlebell,Intermediate,Back,4.83,0.895
2495,Bands Crunch Variation 2495,Rehab,Bands,Elite,Full Body,10.26,0.457
2496,Dumbbell Overhead Press Variation 2496,Strength,Dumbbell,Elite,Chest,9.37,0.632
2497,Machine Deadlift Variation 2497,Hypertrophy,Machine,Beginner,Back,3.86,0.207
2498,Barbell Tricep Extension Variation 2498,Hypertrophy,Barbell,Beginner,Legs,4.47,0.815
2499,Dumbbell Cable Fly Variation 2499,Rehab,Dumbbell,Intermediate,Legs,8.85,0.724
2500,Machine Barbell Row Variation 2500,Core,Machine,Elite,Legs,11.44,0.168
2501,Kettlebell Pull-up Variation 2501,Hypertrophy,Kettlebell,Advanced,Shoulders,8.75,0.270
2502,Dumbbell Lat Pulldown Variation 2502,Core,Dumbbell,Intermediate,Legs,7.38,0.862
2503,Machine Crunch Variation 2503,Endurance,Machine,Elite,Full Body,3.92,0.158
2504,Dumbbell Lunge Variation 2504,Power,Dumbbell,Intermediate,Legs,7.86,0.803
2505,Bands Pull-up Variation 2505,Core,Bands,Advanced,Chest,9.94,0.829
2506,Dumbbell Squat Variation 2506,Core,Dumbbell,Advanced,Shoulders,6.08,0.367
2507,Cable Overhead Press Variation 2507,Endurance,Cable,Advanced,Legs,10.64,0.410
2508,Cable Barbell Row Variation 2508,Endurance,Cable,Elite,Arms,5.73,0.390
2509,Barbell Pull-up Variation 2509,Core,Barbell,Advanced,Shoulders,8.15,0.117
2510,Dumbbell Bench Press Variation 2510,Hypertrophy,Dumbbell,Intermediate,Shoulders,9.17,0.239
2511,Bodyweight Lat Pulldown Variation 2511,Hypertrophy,Bodyweight,Intermediate,Arms,6.54,0.235
2512,Cable Overhead Press Variation 2512,Hypertrophy,Cable,Intermediate,Back,6.75,0.332
2513,Kettlebell Lat Pulldown Variation 2513,Strength,Kettlebell,Advanced,Shoulders,8.30,0.457
2514,Barbell Bench Press Variation 2514,Rehab,Barbell,Advanced,Full Body,3.66,0.768
2515,Cable Cable Fly Variation 2515,Core,Cable,Intermediate,Legs,8.91,0.895
2516,Machine Barbell Row Variation 2516,Core,Machine,Advanced,Core,7.03,0.206
2517,Barbell Pull-up Variation 2517,Endurance,Barbell,Beginner,Back,5.87,0.672
2518,Dumbbell Barbell Row Variation 2518,Strength,Dumbbell,Beginner,Core,6.85,0.504
2519,Bodyweight Crunch Variation 2519,Endurance,Bodyweight,Advanced,Legs,4.26,0.873
2520,Barbell Tricep Extension Variation 2520,Hypertrophy,Barbell,Intermediate,Chest,10.88,0.599
2521,Cable Overhead Press Variation 2521,Rehab,Cable,Intermediate,Legs,5.99,0.146
2522,Cable Plank Variation 2522,Rehab,Cable,Advanced,Core,3.90,0.498
2523,Bodyweight Crunch Variation 2523,Endurance,Bodyweight,Intermediate,Legs,4.57,0.511
2524,Machine Tricep Extension Variation 2524,Hypertrophy,Machine,Elite,Full Body,9.30,0.420
2525,Dumbbell Bench Press Variation 2525,Strength,Dumbbell,Beginner,Chest,9.53,0.137
2526,Barbell Lat Pulldown Variation 2526,Power,Barbell,Elite,Legs,11.11,0.182
2527,Dumbbell Barbell Row Variation 2527,Power,Dumbbell,Elite,Full Body,4.29,0.404
2528,Cable Squat Variation 2528,Hypertrophy,Cable,Elite,Chest,4.32,0.784
2529,Machine Squat Variation 2529,Core,Machine,Intermediate,Arms,10.36,0.403
2530,Barbell Pull-up Variation 2530,Power,Barbell,Elite,Full Body,4.49,0.123
2531,Bands Crunch Variation 2531,Rehab,Bands,Elite,Shoulders,9.32,0.797
2532,Dumbbell Deadlift Variation 2532,Rehab,Dumbbell,Beginner,Back,3.64,0.287
2533,Bodyweight Cable Fly Variation 2533,Strength,Bodyweight,Advanced,Full Body,9.45,0.573
2534,Barbell Deadlift Variation 2534,Core,Barbell,Elite,Core,11.05,0.820
2535,Dumbbell Pull-up Variation 2535,Hypertrophy,Dumbbell,Elite,Chest,8.93,0.159
2536,Kettlebell Barbell Row Variation 2536,Hypertrophy,Kettlebell,Elite,Legs,4.94,0.659
2537,Bodyweight Lunge Variation 2537,Hypertrophy,Bodyweight,Elite,Core,11.79,0.212
2538,Kettlebell Leg Press Variation 2538,Power,Kettlebell,Beginner,Full Body,11.28,0.668
2539,Barbell Barbell Row Variation 2539,Hypertrophy,Barbell,Beginner,Back,10.83,0.714
2540,Machine Lunge Variation 2540,Power,Machine,Advanced,Legs,4.64,0.241
2541,Kettlebell Tricep Extension Variation 2541,Core,Kettlebell,Intermediate,Back,8.74,0.732
2542,Cable Cable Fly Variation 2542,Core,Cable,Advanced,Shoulders,4.06,0.660
2543,Dumbbell Bench Press Variation 2543,Core,Dumbbell,Advanced,Chest,7.59,0.667
2544,Bodyweight Plank Variation 2544,Core,Bodyweight,Intermediate,Chest,5.50,0.401
2545,Cable Bench Press Variation 2545,Endurance,Cable,Advanced,Chest,7.48,0.428
2546,Barbell Overhead Press Variation 2546,Hypertrophy,Barbell,Intermediate,Arms,11.63,0.732
2547,Barbell Calf Raise Variation 2547,Hypertrophy,Barbell,Elite,Arms,3.87,0.605
2548,Cable Barbell Row Variation 2548,Power,Cable,Advanced,Arms,10.04,0.833
2549,Machine Dumbbell Curl Variation 2549,Strength,Machine,Beginner,Core,8.20,0.590
2550,Bodyweight Leg Press Variation 2550,Hypertrophy,Bodyweight,Advanced,Back,7.47,0.671
2551,Machine Calf Raise Variation 2551,Rehab,Machine,Advanced,Back,9.21,0.701
2552,Kettlebell Lunge Variation 2552,Rehab,Kettlebell,Beginner,Arms,6.08,0.855
2553,Kettlebell Cable Fly Variation 2553,Hypertrophy,Kettlebell,Elite,Legs,11.29,0.244
2554,Barbell Overhead Press Variation 2554,Core,Barbell,Beginner,Arms,7.75,0.820
2555,Cable Plank Variation 2555,Strength,Cable,Elite,Back,10.55,0.336
2556,Cable Overhead Press Variation 2556,Strength,Cable,Beginner,Shoulders,4.38,0.678
2557,Barbell Plank Variation 2557,Power,Barbell,Beginner,Chest,5.39,0.158
2558,Kettlebell Bench Press Variation 2558,Hypertrophy,Kettlebell,Beginner,Shoulders,11.37,0.189
2559,Bodyweight Squat Variation 2559,Strength,Bodyweight,Beginner,Full Body,5.76,0.564
2560,Bands Squat Variation 2560,Rehab,Bands,Advanced,Core,10.89,0.729
2561,Bands Lunge Variation 2561,Rehab,Bands,Elite,Shoulders,4.73,0.401
2562,Kettlebell Barbell Row Variation 2562,Rehab,Kettlebell,Elite,Core,3.76,0.628
2563,Bodyweight Pull-up Variation 2563,Endurance,Bodyweight,Advanced,Full Body,5.80,0.243
2564,Machine Leg Press Variation 2564,Power,Machine,Elite,Chest,3.61,0.567
2565,Machine Calf Raise Variation 2565,Hypertrophy,Machine,Elite,Legs,9.30,0.631
2566,Bodyweight Tricep Extension Variation 2566,Core,Bodyweight,Beginner,Back,6.07,0.713
2567,Bodyweight Overhead Press Variation 2567,Rehab,Bodyweight,Elite,Chest,3.97,0.559
2568,Bands Lat Pulldown Variation 2568,Core,Bands,Elite,Back,3.45,0.619
2569,Barbell Lunge Variation 2569,Hypertrophy,Barbell,Beginner,Back,11.88,0.218
2570,Bands Crunch Variation 2570,Hypertrophy,Bands,Intermediate,Core,4.18,0.803
2571,Bands Plank Variation 2571,Endurance,Bands,Beginner,Shoulders,5.54,0.529
2572,Bands Leg Press Variation 2572,Strength,Bands,Advanced,Chest,9.47,0.640
2573,Bands Lat Pulldown Variation 2573,Power,Bands,Beginner,Back,10.63,0.800
2574,Cable Plank Variation 2574,Endurance,Cable,Elite,Back,4.18,0.664
2575,Barbell Lunge Variation 2575,Hypertrophy,Barbell,Beginner,Shoulders,9.49,0.885
2576,Bands Overhead Press Variation 2576,Strength,Bands,Elite,Chest,9.26,0.248
2577,Bodyweight Leg Press Variation 2577,Strength,Bodyweight,Advanced,Shoulders,9.77,0.574
2578,Barbell Lunge Variation 2578,Core,Barbell,Elite,Arms,6.07,0.613
2579,Bodyweight Lunge Variation 2579,Rehab,Bodyweight,Intermediate,Full Body,11.68,0.796
2580,Bodyweight Leg Press Variation 2580,Power,Bodyweight,Elite,Back,8.90,0.542
2581,Bands Bench Press Variation 2581,Hypertrophy,Bands,Intermediate,Arms,3.42,0.394
2582,Kettlebell Overhead Press Variation 2582,Strength,Kettlebell,Beginner,Legs,9.78,0.377
2583,Bands Squat Variation 2583,Core,Bands,Beginner,Core,11.32,0.683
2584,Machine Lunge Variation 2584,Rehab,Machine,Advanced,Core,10.30,0.436
2585,Barbell Dumbbell Curl Variation 2585,Rehab,Barbell,Elite,Core,4.79,0.686
2586,Bodyweight Dumbbell Curl Variation 2586,Core,Bodyweight,Advanced,Arms,10.53,0.533
2587,Kettlebell Plank Variation 2587,Rehab,Kettlebell,Beginner,Legs,8.35,0.174
2588,Dumbbell Overhead Press Variation 2588,Endurance,Dumbbell,Intermediate,Chest,3.20,0.150
2589,Dumbbell Calf Raise Variation 2589,Core,Dumbbell,Elite,Back,3.91,0.254
2590,Dumbbell Lat Pulldown Variation 2590,Strength,Dumbbell,Beginner,Chest,7.07,0.565
2591,Bands Plank Variation 2591,Power,Bands,Advanced,Legs,5.53,0.580
2592,Bands Squat Variation 2592,Power,Bands,Advanced,Shoulders,6.94,0.769
2593,Bands Tricep Extension Variation 2593,Rehab,Bands,Beginner,Chest,11.05,0.413
2594,Cable Lunge Variation 2594,Strength,Cable,Beginner,Legs,8.69,0.650
2595,Bodyweight Dumbbell Curl Variation 2595,Endurance,Bodyweight,Elite,Shoulders,10.50,0.261
2596,Machine Overhead Press Variation 2596,Hypertrophy,Machine,Intermediate,Arms,7.21,0.562
2597,Bodyweight Overhead Press Variation 2597,Strength,Bodyweight,Beginner,Full Body,10.11,0.248
2598,Machine Cable Fly Variation 2598,Core,Machine,Intermediate,Chest,10.05,0.296
2599,Machine Leg Press Variation 2599,Core,Machine,Beginner,Full Body,9.13,0.594
2600,Cable Deadlift Variation 2600,Rehab,Cable,Elite,Shoulders,11.26,0.305
2601,Bodyweight Overhead Press Variation 2601,Power,Bodyweight,Beginner,Chest,11.92,0.843
2602,Cable Plank Variation 2602,Hypertrophy,Cable,Elite,Back,8.32,0.528
2603,Cable Squat Variation 2603,Power,Cable,Intermediate,Legs,3.72,0.423
2604,Barbell Deadlift Variation 2604,Power,Barbell,Advanced,Arms,11.89,0.832
2605,Bodyweight Squat Variation 2605,Hypertrophy,Bodyweight,Intermediate,Back,3.69,0.725
2606,Bands Cable Fly Variation 2606,Power,Bands,Beginner,Core,3.44,0.355
2607,Barbell Leg Press Variation 2607,Core,Barbell,Advanced,Shoulders,9.60,0.888
2608,Kettlebell Crunch Variation 2608,Endurance,Kettlebell,Intermediate,Legs,4.32,0.452
2609,Machine Pull-up Variation 2609,Endurance,Machine,Intermediate,Legs,6.07,0.268
2610,Machine Lunge Variation 2610,Core,Machine,Intermediate,Core,5.84,0.270
2611,Bands Leg Press Variation 2611,Strength,Bands,Elite,Shoulders,6.04,0.861
2612,Cable Plank Variation 2612,Strength,Cable,Advanced,Chest,10.59,0.138
2613,Machine Plank Variation 2613,Hypertrophy,Machine,Elite,Shoulders,11.60,0.481
2614,Kettlebell Crunch Variation 2614,Endurance,Kettlebell,Elite,Legs,11.22,0.375
2615,Dumbbell Calf Raise Variation 2615,Strength,Dumbbell,Intermediate,Arms,5.89,0.538
2616,Bodyweight Barbell Row Variation 2616,Core,Bodyweight,Elite,Full Body,11.94,0.893
2617,Kettlebell Dumbbell Curl Variation 2617,Hypertrophy,Kettlebell,Elite,Back,11.34,0.423
2618,Dumbbell Dumbbell Curl Variation 2618,Hypertrophy,Dumbbell,Intermediate,Chest,3.45,0.835
2619,Machine Barbell Row Variation 2619,Strength,Machine,Elite,Shoulders,6.72,0.579
2620,Barbell Overhead Press Variation 2620,Endurance,Barbell,Elite,Full Body,3.11,0.568
2621,Bodyweight Bench Press Variation 2621,Rehab,Bodyweight,Advanced,Core,10.61,0.177
2622,Bands Bench Press Variation 2622,Power,Bands,Advanced,Legs,6.86,0.479
2623,Barbell Cable Fly Variation 2623,Power,Barbell,Beginner,Full Body,3.26,0.439
2624,Barbell Barbell Row Variation 2624,Rehab,Barbell,Advanced,Core,3.37,0.219
2625,Cable Dumbbell Curl Variation 2625,Core,Cable,Beginner,Chest,9.00,0.163
2626,Cable Leg Press Variation 2626,Rehab,Cable,Beginner,Back,9.98,0.882
2627,Cable Barbell Row Variation 2627,Hypertrophy,Cable,Beginner,Arms,5.80,0.600
2628,Kettlebell Dumbbell Curl Variation 2628,Rehab,Kettlebell,Elite,Back,6.45,0.738
